,Video ID,Likes,Sentiment
764,8Vqj8Ls29HI,0,1
765,8Vqj8Ls29HI,0,2
766,8Vqj8Ls29HI,0,1
767,uVmNImDu0rQ,42,0
768,uVmNImDu0rQ,49,1
769,uVmNImDu0rQ,4,2
770,uVmNImDu0rQ,1,2
771,uVmNImDu0rQ,7,2
772,uVmNImDu0rQ,23,0
773,uVmNImDu0rQ,0,2
774,uVmNImDu0rQ,8,0
775,uVmNImDu0rQ,37,0
776,uVmNImDu0rQ,25,2
777,_JGrWrwOoD8,5,1
778,_JGrWrwOoD8,3,1
779,_JGrWrwOoD8,0,1
780,_JGrWrwOoD8,0,1
781,_JGrWrwOoD8,0,2
782,_JGrWrwOoD8,0,1
783,_JGrWrwOoD8,0,1
784,_JGrWrwOoD8,2,1
785,_JGrWrwOoD8,0,1
786,_JGrWrwOoD8,0,1
787,hPy7QFsTaLw,165,0
788,hPy7QFsTaLw,93,2
789,hPy7QFsTaLw,62,0
790,hPy7QFsTaLw,75,0
791,hPy7QFsTaLw,27,0
792,hPy7QFsTaLw,100,0
793,hPy7QFsTaLw,170,0
794,hPy7QFsTaLw,168,0
795,hPy7QFsTaLw,147,0
